509170154482225,0.635
509170154482225,0.641
509170154482225,0.464
509170154482225,0.622
509170154482225,0.575
509170154482225,0.639
509170154482225,0.475
509170154482225,0.624
509170154482225,0.578
549375085839857,1.13
549375085839857,1.083
549375085839857,1.142
549375085839857,1.113
549375085839857,1.127
688645825818496,1.441
688645825818496,1.506
688645825818496,1.359
688645825818496,1.406
688645825818496,1.423
688645825818496,1.31
688645825818496,1.441
688645825818496,1.432
688645825818496,1.426
741369531936346,1.633
741369531936346,1.605
741369531936346,1.584
741369531936346,1.596
741369531936346,1.634
741369531936346,1.641
741369531936346,1.611
821575284580560,1.934
821575284580560,1.876
821575284580560,1.852
821575284580560,1.892
821575284580560,1.928
821575284580560,1.941
821575284580560,1.905
